City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,carnarvon,-24.8667,113.6333,21.03,61,99,6.82,AU,1720412921
83,tadine,-21.55,167.8833,19.99,76,100,8.27,NC,1720412923
84,port mathurin,-19.6833,63.4167,23.37,74,75,6.37,MU,1720412924
85,linxia chengguanzhen,35.6003,103.2064,17.28,79,100,1.35,CN,1720412925
86,anloga,5.7947,0.8973,24.86,88,100,6.71,GH,1720412926
87,bethel,41.3712,-73.414,23.63,86,0,0.0,US,1720412927
88,tolanaro,-25.0319,46.9987,20.04,83,20,3.09,MG,1720412929
89,eagle point,42.4726,-122.8028,33.01,23,0,3.09,US,1720412789
90,waitangi,-43.9535,-176.5597,8.79,82,20,4.47,NZ,1720412932
91,gao,16.6362,1.637,29.52,48,93,5.69,ML,1720412933
92,kuraymah,18.55,31.85,31.19,32,36,3.4,SD,1720412936
93,viveiro,43.6623,-7.5934,17.35,72,84,3.89,ES,1720412937
94,kourou,5.1552,-52.6478,25.03,94,67,1.29,GF,1720412939
95,dieppe,49.75,1.1667,12.96,94,94,2.7,FR,1720412940
96,guajara mirim,-10.7828,-65.3394,23.86,70,40,0.85,BR,1720412941
97,china,25.7,-99.2333,32.74,46,100,4.85,MX,1720412942
98,timbuktu,16.7735,-3.0074,32.84,40,34,8.84,ML,1720412944
99,okha,53.5739,142.9478,10.13,97,100,3.7,RU,1720412945
100,qamdo,31.1667,97.2333,17.15,49,95,0.97,CN,1720412946
101,dryden,49.7833,-92.7503,17.16,94,75,2.06,CA,1720412947
102,coronel suarez,-37.4547,-61.9334,-1.62,83,16,1.21,AR,1720412949
103,bredasdorp,-34.5322,20.0403,7.14,79,69,10.42,ZA,1720412951
104,babolsar,36.7025,52.6576,28.18,72,33,2.74,IR,1720412952
105,okhotsk,59.3833,143.3,13.06,87,100,2.89,RU,1720412954
106,olonkinbyen,70.9221,-8.7187,1.74,94,99,4.19,SJ,1720412955
107,i-n-salah,27.1935,2.4607,35.71,9,0,8.25,DZ,1720412956
108,kalianget,-7.05,113.9333,28.5,63,46,6.85,ID,1720412957
109,miyaly,48.8844,53.7836,29.24,41,38,3.76,KZ,1720412959
110,hawaiian paradise park,19.5933,-154.9731,25.02,77,12,1.34,US,1720412960
111,tsiombe,-25.3,45.4833,14.23,82,0,1.14,MG,1720412961
112,altai,46.3722,96.2583,19.99,34,91,4.93,MN,1720412962
113,isangel,-19.55,169.2667,25.06,61,75,5.14,VU,1720412964
114,schwedt (oder),53.0596,14.2815,14.97,63,76,2.43,DE,1720412966
115,colonia,50.9333,6.95,13.82,83,88,1.94,DE,1720412801
116,iskateley,67.6803,53.1512,20.18,51,7,4.61,RU,1720412969
117,huarmey,-10.0681,-78.1522,18.5,87,57,4.63,PE,1720412970
118,sefwi wiawso,6.2044,-2.4886,21.49,100,100,0.56,GH,1720412971
119,canmore,51.0834,-115.3521,21.06,89,3,1.03,CA,1720412818
120,mount pearl,47.5166,-52.7813,16.19,97,75,5.66,CA,1720412974
121,mili,6.0815,171.735,28.77,74,10,5.6,MH,1720412975
122,berber,18.0216,33.983,29.04,47,20,6.65,SD,1720412976
123,al wafrah,28.6392,47.9306,36.25,16,6,4.31,KW,1720412977
124,corona de tucson,31.9654,-110.7756,35.95,25,0,1.79,US,1720412979
125,weno,7.4515,151.8468,30.97,84,100,3.6,FM,1720412980
126,huntsville,34.7304,-86.5861,26.12,79,0,0.0,US,1720412981
127,dongkan,33.9997,119.8308,25.3,95,100,3.17,CN,1720412982
